"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2020","1,026.26","1,026.29","1,027.11","1,025.97","161.69M","-0.00%"
"Jul 21, 2020","1,026.29","1,031.36","1,032.93","1,024.34","260.90M","-0.53%"
"Jul 20, 2020","1,031.71","1,032.74","1,033.40","1,031.71","167.73M","-0.10%"
"Jul 17, 2020","1,032.74","1,034.66","1,035.24","1,031.35","95.36M","-0.22%"
"Jul 16, 2020","1,034.99","1,027.91","1,035.19","1,027.13","136.89M","0.68%"
"Jul 15, 2020","1,028.04","1,032.55","1,034.07","1,027.48","169.14M","-0.44%"
"Jul 14, 2020","1,032.55","1,036.80","1,037.13","1,031.37","153.43M","-0.41%"
"Jul 13, 2020","1,036.80","1,042.02","1,042.02","1,034.87","194.02M","-0.50%"
"Jul 10, 2020","1,042.02","1,040.78","1,042.51","1,039.40","75.73M","0.12%"
"Jul 09, 2020","1,040.78","1,040.60","1,043.51","1,040.60","153.48M","0.02%"
"Jul 08, 2020","1,040.60","1,030.40","1,040.60","1,030.40","172.84M","0.99%"
"Jul 07, 2020","1,030.40","1,031.90","1,035.34","1,030.40","97.22M","-0.15%"
"Jul 06, 2020","1,031.90","1,044.50","1,045.32","1,025.62","140.44M","-1.21%"
"Jul 03, 2020","1,044.50","1,047.39","1,049.65","1,044.36","99.52M","-0.28%"
"Jul 02, 2020","1,047.39","1,058.25","1,058.94","1,046.55","111.88M","-1.03%"
"Jul 01, 2020","1,058.25","1,052.09","1,064.45","1,052.09","78.21M","0.59%"
"Jun 30, 2020","1,052.09","1,070.24","1,070.26","1,050.91","172.89M","-1.70%"
"Jun 29, 2020","1,070.24","1,067.98","1,070.24","1,063.30","95.29M","0.21%"
"Jun 26, 2020","1,067.98","1,068.12","1,068.12","1,064.56","80.28M","-0.01%"
"Jun 25, 2020","1,068.12","1,069.99","1,070.64","1,067.86","86.85M","-0.17%"
"Jun 24, 2020","1,069.99","1,075.05","1,076.19","1,069.23","140.42M","-0.47%"
"Jun 23, 2020","1,075.05","1,074.33","1,075.46","1,069.64","100.92M","-0.07%"
"Jun 22, 2020","1,075.77","1,078.56","1,080.60","1,070.02","59.48M","-0.26%"
"Jun 19, 2020","1,078.56","1,082.83","1,092.09","1,078.00","99.27M","-0.39%"
"Jun 18, 2020","1,082.83","1,084.65","1,088.79","1,081.76","122.16M","-0.17%"
"Jun 17, 2020","1,084.65","1,081.58","1,084.65","1,076.24","149.85M","0.28%"
"Jun 16, 2020","1,081.58","1,082.59","1,087.11","1,081.58","123.57M","-0.09%"
"Jun 15, 2020","1,082.59","1,094.50","1,095.14","1,072.55","134.06M","-1.09%"
"Jun 11, 2020","1,094.50","1,095.16","1,100.03","1,094.42","187.78M","-0.06%"
"Jun 10, 2020","1,095.16","1,100.90","1,101.57","1,090.58","158.96M","-0.52%"
"Jun 09, 2020","1,100.90","1,096.64","1,103.29","1,096.64","103.00M","0.39%"
"Jun 08, 2020","1,096.64","1,086.24","1,105.24","1,086.24","139.43M","0.94%"
"Jun 05, 2020","1,086.46","1,100.51","1,100.98","1,079.16","130.39M","-1.28%"
"Jun 04, 2020","1,100.51","1,105.38","1,106.23","1,100.51","187.64M","-0.44%"
"Jun 03, 2020","1,105.38","1,102.77","1,106.01","1,099.47","249.82M","0.24%"
"Jun 02, 2020","1,102.77","1,099.36","1,106.66","1,099.36","239.26M","0.31%"
"Jun 01, 2020","1,099.36","1,096.28","1,102.96","1,091.60","145.13M","0.28%"
"May 29, 2020","1,096.28","1,091.74","1,102.83","1,091.64","245.42M","0.42%"
"May 28, 2020","1,091.74","1,095.42","1,106.66","1,090.17","242.66M","-0.30%"
"May 27, 2020","1,095.03","1,094.07","1,106.57","1,087.24","441.87M","0.09%"
"May 22, 2020","1,094.07","1,072.37","1,094.09","1,071.59","199.76M","2.02%"
"May 21, 2020","1,072.37","1,057.24","1,072.92","1,055.87","239.51M","1.43%"
"May 20, 2020","1,057.24","1,044.92","1,058.25","1,044.06","333.17M","1.18%"
"May 19, 2020","1,044.92","1,031.38","1,045.07","1,031.38","261.62M","0.98%"
"May 18, 2020","1,034.75","1,027.95","1,034.84","1,026.85","268.34M","0.68%"
"May 15, 2020","1,027.78","1,027.13","1,030.62","1,026.34","136.37M","-0.04%"
"May 14, 2020","1,028.17","1,019.20","1,028.17","1,019.20","119.06M","0.88%"
"May 13, 2020","1,019.20","1,018.27","1,021.72","1,018.27","108.39M","0.09%"
"May 12, 2020","1,018.27","1,031.05","1,031.73","1,010.81","87.36M","-1.15%"
"May 11, 2020","1,030.14","1,035.45","1,036.20","1,030.06","117.92M","-0.51%"
"May 08, 2020","1,035.45","1,051.07","1,053.30","1,034.75","151.47M","-1.45%"
"May 07, 2020","1,050.73","1,040.90","1,051.86","1,035.69","345.16M","0.94%"
"May 06, 2020","1,040.90","1,025.71","1,042.49","1,025.38","361.41M","1.51%"
"May 05, 2020","1,025.41","990.97","1,025.42","990.23","259.49M","3.48%"
"May 04, 2020","990.97","987.17","992.84","983.26","195.39M","0.38%"
"Apr 30, 2020","987.17","980.10","988.23","968.46","287.72M","0.72%"
"Apr 29, 2020","980.10","973.62","980.88","973.62","223.34M","0.68%"
"Apr 28, 2020","973.45","968.15","975.29","968.15","226.51M","0.55%"
"Apr 27, 2020","968.15","967.82","970.01","967.25","69.60M","0.02%"
"Apr 24, 2020","967.99","960.97","971.51","960.79","158.60M","0.73%"
"Apr 23, 2020","960.97","976.45","977.59","957.79","156.80M","-1.59%"
"Apr 22, 2020","976.45","968.28","977.43","968.28","166.96M","0.84%"
"Apr 21, 2020","968.28","982.40","982.40","967.50","210.30M","-1.44%"
"Apr 20, 2020","982.40","983.01","994.15","982.38","310.31M","-0.06%"
"Apr 17, 2020","983.01","964.44","983.33","963.05","200.79M","1.93%"
"Apr 16, 2020","964.44","964.38","968.51","954.75","275.21M","0.01%"
"Apr 15, 2020","964.38","931.95","964.56","931.34","278.24M","3.48%"
